segment,140405,140406,140407,140408,140409,140410,140411,140412,140501,140502,140503
abandoned,13473,12418,11974,9204,7603,7283,7052,6959,6937,6699,5253
active_customer_1m,15372,9500,8558,10727,14909,13394,13173,9626,8791,14404,16821
active_customer_6m,15,12226,17035,19350,20680,25484,23001,24332,23487,18375,16839
dead_credit_holder,127,168,100,304,318,303,329,316,323,352,740
dead_customer,9,13,24,45,84,81,92,98,96,116,311
dormant_customer,0,0,0,0,0,0,5067,8397,10393,11974,14494
fresh_credit_holder,56161,795,816,9154,4142,410,146,163,26,1018,8734
rejected,55224,55061,54359,46558,43236,42883,42807,42682,42670,41288,32975
unactivated_credit_holder,2187,52387,49702,47226,51596,52730,50901,49995,49845,48342,46401
