segment,140407,140408,140409,140410,140411,140412,140501,140502,140503
abandoned,15815,13290,10330,9821,9489,9314,9285,8944,6973
active_customer_1m,19247,16630,17188,15141,14307,9951,8528,14922,18068
active_customer_6m,11,13760,20861,26921,30560,36121,30372,21425,18785
dead_credit_holder,58,433,501,511,583,577,584,620,1161
dead_customer,4,15,41,48,81,91,86,113,298
dormant_customer,0,0,0,0,0,0,7480,12297,16044
fresh_credit_holder,95098,8382,4528,426,177,219,48,1266,10725
rejected,63711,55199,52600,52331,52295,52185,52161,50406,40156
unactivated_credit_holder,0,86235,87895,88745,86452,85486,85400,83951,81734
